states,population,fips,mass_gathering_restrictions,initial_business_closure,educational_facilities_closed,non-essential_services_closed,stay_at_home_order,end,total_predicted_deaths,"total_predicted_deaths_per_100,000"
Alabama,4903185,1,2020-03-20,2020-03-20,2020-03-19,2020-03-28,2020-04-04,2020-05-18,295,6
Alaska,731545,2,2020-03-24,2020-03-17,2020-03-16,2020-03-28,2020-03-28,2020-05-11,24,3.3
Arizona,7278717,4,2020-03-30,2020-03-20,2020-03-16,,2020-03-30,2020-06-08,267,3.7
Arkansas,3017804,5,2020-03-27,2020-03-19,2020-03-17,,,2020-06-22,158,5.2
California,39512223,6,2020-03-11,2020-03-19,2020-03-19,2020-03-19,2020-03-19,2020-05-18,1658,4.2
Colorado,5758736,8,2020-03-19,2020-03-17,2020-03-23,2020-03-26,2020-03-26,2020-05-25,715,12.4
Connecticut,3565287,9,2020-03-12,2020-03-16,2020-03-17,2020-03-23,,2020-06-01,2732,76.6
Delaware,973764,10,2020-03-16,2020-03-16,2020-03-16,2020-03-24,2020-03-24,2020-05-18,143,14.7
District of Columbia,705749,11,2020-03-13,2020-03-17,2020-03-16,2020-03-25,2020-04-30,2020-06-08,170,24.1
Florida,21477737,12,2020-04-03,2020-03-17,2020-03-17,,2020-04-03,2020-05-01,1363,6.3
Georgia,10617423,13,2020-03-24,2020-03-24,2020-03-18,,2020-04-03,2020-06-15,1369,12.9
Hawaii,1415872,15,2020-03-16,2020-03-17,2020-03-19,2020-03-25,2020-03-25,2020-05-04,38,2.7
Idaho,1787065,16,2020-03-25,2020-03-25,2020-03-23,2020-03-25,2020-03-25,2020-05-11,63,3.5
Illinois,12671821,17,2020-03-13,2020-03-21,2020-03-17,2020-03-21,2020-03-21,2020-05-25,2259,17.8
Indiana,6732219,18,2020-03-12,2020-03-16,2020-03-19,2020-03-24,2020-03-25,2020-05-25,903,13.4
Iowa,3155070,19,2020-03-17,2020-03-17,2020-04-04,,,2020-06-29,624,19.8
Kansas,2913314,20,2020-03-17,,2020-03-17,,2020-03-30,2020-06-01,187,6.4
Kentucky,4467673,21,2020-03-19,2020-03-18,2020-03-20,2020-03-26,,2020-06-08,407,9.1
Louisiana,4648794,22,2020-03-13,2020-03-17,2020-03-16,2020-03-22,2020-03-23,2020-05-18,1685,36.2
Maine,1344212,23,2020-03-18,2020-03-25,2020-03-16,2020-03-25,2020-04-02,2020-05-18,51,3.8
Maryland,6045680,24,2020-03-16,2020-03-16,2020-03-16,2020-03-23,2020-03-30,2020-06-08,914,15.1
Massachusetts,6892503,25,2020-03-13,2020-03-23,2020-03-17,2020-03-24,,2020-06-08,3236,46.9
Michigan,9986857,26,2020-03-13,2020-03-16,2020-03-16,2020-03-23,2020-03-24,2020-05-18,3304,33.1
Minnesota,5639632,27,2020-03-27,2020-03-17,2020-03-18,,2020-03-27,2020-05-25,195,3.5
Mississippi,2976149,28,2020-03-24,2020-04-03,2020-03-19,2020-04-03,2020-04-03,2020-06-01,369,12.4
Missouri,6137428,29,2020-03-23,2020-03-17,2020-03-23,,2020-03-06,2020-06-01,362,5.9
Montana,1068778,30,2020-03-24,2020-03-20,2020-03-15,2020-03-26,2020-03-26,2020-05-04,17,1.6
Nebraska,1934408,31,2020-03-16,,2020-04-02,,,2020-06-29,127,6.6
Nevada,3080156,32,2020-03-19,2020-03-21,2020-03-16,2020-03-21,2020-03-31,2020-05-18,257,8.3
New Hampshire,1359711,33,2020-03-16,2020-03-28,2020-03-16,2020-03-28,2020-03-27,2020-05-11,55,4
New Jersey,8882190,34,2020-03-16,2020-03-16,2020-03-18,2020-03-21,2020-03-21,2020-06-01,6952,78.3
New Mexico,2096829,35,2020-03-12,2020-03-16,2020-03-13,2020-03-24,,2020-05-18,80,3.8
New York,19453561,36,2020-03-12,2020-03-16,2020-03-18,2020-03-22,2020-03-22,2020-06-01,21812,112.1
North Carolina,10488084,37,2020-03-14,2020-03-25,2020-03-14,2020-03-30,2020-03-30,2020-05-11,251,2.4
